CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
228,Male,34,143,75
229,Male,56,143,79
230,Female,36,144,20
231,Male,40,144,81
232,Female,31,144,81
233,Female,45,145,71
234,Female,76,145,10
235,Female,72,145,95
236,Male,27,146,82
237,Male,46,146,90
238,Male,28,146,71
239,Female,21,146,85
240,Male,37,147,4
241,Female,59,147,49
242,Male,57,147,9
243,Male,45,147,76
244,Male,47,148,13
245,Female,45,148,87
246,Female,38,148,87
247,Male,34,149,24
248,Male,28,149,71
249,Female,21,149,36
250,Male,40,149,87
251,Female,56,150,12
252,Female,66,150,44
253,Female,65,151,44
254,Male,30,151,89
255,Male,24,154,79
256,Male,24,154,76
257,Male,36,154,6
258,Female,38,154,68
259,Female,54,154,13
260,Female,57,155,38
261,Male,45,155,19
262,Male,28,155,58
263,Male,63,156,49
264,Male,67,156,35
265,Male,42,157,40
266,Male,50,157,17
267,Male,27,158,15
268,Male,42,158,40
269,Female,32,159,96
270,Female,27,164,37
271,Male,83,165,52
272,Female,54,165,98
273,Male,65,166,93
274,Female,32,167,2
275,Male,69,167,24
276,Female,34,167,88
277,Female,67,168,10
278,Female,39,168,91
279,Male,40,169,31
280,Male,27,169,64
281,Male,34,169,15
282,Male,31,169,86
283,Male,26,169,77
284,Female,19,169,70
285,Female,37,170,22
286,Female,83,170,53
287,Female,41,170,54
288,Female,52,171,71
289,Male,44,171,76
290,Male,56,171,29
291,Male,53,171,1
292,Female,22,172,83
293,Male,54,172,23
294,Male,24,172,21
295,Female,49,173,43
296,Female,76,173,39
297,Female,77,173,55
298,Female,59,173,56
299,Female,63,174,15
300,Male,34,174,50
301,Male,69,174,34
302,Male,89,174,34
303,Female,44,174,52
304,Female,56,174,55
305,Female,54,174,37
306,Female,59,174,98
307,Female,65,175,84
308,Female,47,175,66
309,Male,30,175,27
310,Male,31,175,79
311,Male,67,177,100
312,Male,81,177,74
313,Male,56,177,26
314,Female,33,177,84
315,Female,27,177,46
316,Male,27,177,64
317,Female,26,177,90
318,Male,74,177,29
319,Male,53,177,34
320,Male,41,178,18
321,Male,60,178,54
322,Male,64,178,2
323,Female,42,178,89
324,Female,24,178,7
325,Male,26,178,27
326,Female,69,178,75
327,Male,72,179,59
328,Female,29,179,50
329,Female,19,179,33
330,Male,79,179,81
331,Female,76,179,39
332,Male,84,179,48
333,Female,69,180,53
334,Male,71,180,57
335,Male,49,180,33
336,Male,39,180,23
337,Female,66,180,79
338,Male,52,181,41
339,Female,46,181,64
340,Male,42,181,46
341,Male,36,181,99
342,Male,33,181,1
343,Female,48,181,43
344,Male,51,181,71
345,Female,33,182,64
346,Male,41,182,9
347,Male,24,182,65
348,Female,53,183,68
349,Female,60,183,34
350,Female,54,184,13
351,Female,45,184,51
352,Female,24,185,95
353,Female,58,185,95
354,Male,65,185,100
355,Male,56,186,89
356,Male,46,186,5
357,Male,26,186,42
358,Female,52,187,72
359,Female,66,187,6
360,Female,47,187,53
361,Male,51,187,41
362,Male,48,187,8
363,Male,43,187,76
364,Male,37,187,74
365,Female,59,187,82
366,Female,50,187,72
367,Female,64,188,84
368,Female,20,188,13
369,Female,60,188,98
370,Female,48,188,59
371,Male,69,188,71
372,Male,62,189,43
373,Female,75,189,39
374,Male,81,189,50
375,Male,39,190,50
376,Male,86,190,75
377,Male,71,190,75
378,Male,20,190,69
379,Male,51,190,46
380,Male,79,190,81
381,Female,49,190,53
382,Male,55,191,41
383,Female,43,191,89
384,Male,36,191,99
385,Female,83,194,55
386,Male,59,194,47
387,Male,70,194,47
388,Male,59,194,40
389,Male,79,194,63
390,Male,47,195,19
391,Female,45,195,4
392,Male,41,195,89
393,Female,63,195,30
394,Female,59,195,82
395,Male,45,196,19
396,Male,48,196,33
397,Male,83,196,74
398,Male,81,196,37
399,Male,87,196,86
400,Female,69,198,25
401,Male,42,198,89
402,Male,27,198,97
403,Female,47,198,43
404,Male,21,198,82
405,Male,72,199,59
406,Male,36,199,99
407,Female,41,199,9
